hora,tipo_sinal,direcao,tamanho_canal_pct_atr,distancia_sma_pct_atr,rsi,vela_gatilho_corpo_pct,aceleracao_velas_contra,vela_1_antes_corpo_pct,vela_1_antes_favor,vela_2_antes_corpo_pct,vela_2_antes_favor,alvo_win
20,0,1,0.9861325115564584,0.5411402157166058,56.240481198358296,0.5357142857147247,1,0.5666666666667407,-1,0.0178571428572632,1,1
21,1,-1,0.5317324185245055,2.5735849056602977,38.15809368141093,0.7826086956522914,1,0.4339622641507378,-1,0.3389830508473683,1,1
21,0,1,0.9789156626503304,4.953463855421937,71.45055694073233,0.3428571428572063,0,0.7037037037038103,1,0.5844155844157117,1,1
7,0,-1,1.5705128205129515,4.883012820513359,31.230377421120195,0.2448979591839786,0,0.688888888888867,1,0.6129032258064901,1,1
8,0,-1,0.6016042780746392,3.5078877005345555,52.155851958942826,0.2295081967213592,0,0.510204081632949,1,0.4473684210527161,1,1
8,0,-1,0.6008010680905735,3.5157543391189074,51.08280788514202,0.1384615384614123,1,0.2295081967213592,-1,0.510204081632949,1,1
10,1,1,0.6041131105398156,1.643573264781326,50.44722544700762,0.8235294117648595,0,0.9879518072288352,1,0.6170212765960462,1,1
12,1,1,0.6367583212734929,3.023878437047784,57.96594114503444,0.2444444444441593,0,0.8333333333332511,1,0.0967741935482946,-1,1
12,0,1,0.5890227576974967,3.3353413654622277,56.87756519030735,0.0655737704918689,0,0.2280701754385486,1,0.7209302325581456,1,1
16,0,1,0.8347826086957261,1.9848695652174384,49.87326986829379,0.6666666666665545,0,0.3953488372093743,1,0.2564102564101542,1,1
20,0,-1,0.6343906510852032,0.6724540901502931,57.778774617335,0.6857142857144126,0,0.5000000000003364,1,0.4634146341466453,1,0
20,0,-1,0.9193776520507018,1.1492220650635343,48.75343166485216,0.5254237288135338,0,0.4705882352945786,1,0.3448275862069757,-1,0
8,0,-1,0.8086253369270882,3.4204851752018643,33.972698287341245,0.1612903225806682,1,0.1379310344825078,-1,0.4102564102565343,1,1
8,0,-1,0.8264462809916395,3.1235537190085285,38.7129031542558,0.642857142857511,1,0.7972972972971595,-1,0.1698113207550173,1,1
9,0,1,0.6879194630873395,2.9640939597318865,57.3429968636176,0.6753246753245405,0,0.3428571428567803,1,0.4999999999998678,1,1
9,0,1,0.664505672609482,3.477957860616004,60.80276343945389,0.4814814814816338,1,0.6753246753245405,-1,0.3428571428567803,1,1
9,0,1,1.1041009463725435,4.091167192429444,62.76330912516079,0.7631578947370727,0,0.4583333333332755,1,0.7297297297297459,1,1
9,1,1,0.2460202604920544,0.5191027496382896,44.24373726553197,0.7307692307692143,1,0.3714285714283901,-1,0.184615384615558,1,1
10,0,-1,0.9661016949155592,2.521864406779819,46.4408851941907,0.5050505050504257,0,0.3725490196080992,1,0.547945205479302,1,1
11,0,-1,0.7822085889570615,2.157208588957164,38.62698410376842,0.1219512195119045,0,0.0714285714284959,1,0.6119402985075418,1,1
11,0,-1,1.769331585845189,2.831192660550068,37.33062948647645,0.5964912280702301,0,0.5,1,0.8733333333332485,1,1
11,0,-1,1.769331585845189,2.831192660550068,37.33062948647645,0.5964912280702301,0,0.5,1,0.8733333333332485,1,1
11,0,1,0.3809523809525196,1.8330158730157973,54.84526060924187,0.5151515151516171,0,0.5663716814160649,1,0.7391304347827766,1,1
12,0,1,0.655999999999693,5.195200000000111,59.16433033183146,0.8148148148144696,0,0.7499999999998539,1,0.5357142857141158,1,1
12,0,1,0.6193353474317146,5.405589123866905,62.3922867042692,0.5757575757575554,1,0.8148148148144696,-1,0.7499999999998539,1,1
13,0,1,0.2329192546581709,3.696894409937744,54.98687793915241,0.7058823529412149,1,0.9242424242422764,-1,0.6891891891892379,1,1
13,0,1,0.658682634730531,4.331586826347449,60.56372816613169,0.25,1,0.436619718309912,-1,0.6976744186046872,1,1
13,0,1,0.4740061162079853,5.839755351681972,63.97027929908807,0.3478260869564588,0,0.1636363636362094,1,0.3513513513512702,1,1
15,0,-1,1.2183544303799791,4.8356012658227145,51.894944936464746,0.4329896907217769,0,0.4242424242425873,1,0.6808510638300386,-1,1
16,0,1,1.192214111922101,5.44257907542568,67.04418704870707,0.0392156862743305,1,0.8316831683168578,-1,0.9439252336449024,1,1
16,1,1,0.898379970544879,5.369072164948259,53.2143046887551,0.1538461538461913,0,0.7980769230768676,1,0.8205128205127841,1,1
17,0,-1,0.975975975976019,2.50840840840865,44.113685073206376,0.8214285714284487,0,0.4464285714286281,1,0.4761904761903251,-1,1
17,0,-1,0.9180790960452568,2.4935028248588056,43.52125723887034,0.1282051282053982,1,0.8214285714284487,-1,0.4464285714286281,1,1
20,0,-1,1.1849710982659898,2.611994219653194,41.63752995238105,0.2394366197183186,1,0.875000000000077,-1,0.468750000000477,1,1
21,0,-1,1.4014598540142835,4.257372262773245,44.78882500337373,0.8461538461541418,0,0.4166666666665896,1,0.7941176470587851,1,1
21,0,-1,1.4611872146115523,4.635159817351522,43.02785890588662,0.2739726027397343,1,0.8461538461541418,-1,0.4166666666665896,1,1
21,0,-1,1.4096916299556843,4.350954478707724,43.28065688407792,0.0,0,0.2739726027397343,1,0.8461538461541418,-1,1
21,1,-1,0.3424657534249961,2.271404109589029,54.37037886736709,0.4117647058824297,0,0.3015873015872065,1,0.4999999999996299,1,1
7,0,1,1.161202185792445,1.424726775956466,60.8145390296862,0.7681159420287803,0,0.6885245901640776,1,0.0116279069768192,1,1
7,0,1,1.147098515519639,1.4252361673411953,60.99199469038436,0.0666666666666008,1,0.7681159420287803,-1,0.6885245901640776,1,1
12,0,-1,0.9645909645907864,3.5714285714286875,40.82378307130915,0.7368421052630718,0,0.2386363636364152,1,0.966292134831242,1,1
12,0,-1,0.901826484018102,4.3018264840183305,35.577604214104184,0.8510638297869928,1,0.7368421052630718,-1,0.2386363636364152,1,0
12,0,-1,0.914351851851676,3.7781250000001343,40.14762232434833,0.7413793103449596,0,0.8510638297869928,1,0.7368421052630718,-1,1
12,0,1,1.1798561151079356,1.1067625899278972,59.1907862591364,0.6543209876542397,0,0.8139534883714565,1,0.924731182795912,1,1
13,0,1,0.6184012066364584,2.762141779788307,63.81246702746182,0.2200000000001332,0,0.4042553191485843,1,0.7966101694913532,1,1
13,0,1,0.6570512820512439,3.672275641025061,67.36303545415159,0.5975609756097395,1,0.2200000000001332,-1,0.4042553191485843,1,1
13,1,1,0.9158415841587104,3.3022277227725256,60.67935085499819,0.5,0,0.6989247311829317,1,0.4431818181816978,1,1
13,0,1,1.4766355140184138,6.136448598131154,62.86690373139263,0.5490196078432397,0,0.5121951219512988,1,0.9655172413790905,1,1
14,0,-1,0.7963246554362597,0.0006125574272764,45.18969661239759,0.7045454545455349,1,0.5405405405405082,-1,0.5744680851064031,1,1
14,0,1,1.2479201331115133,0.8818635607323381,59.18877310657719,0.4361702127659047,0,0.5600000000000948,1,0.9629629629629934,1,1
17,1,-1,0.4379562043794981,4.302189781021792,48.674943754300976,0.0769230769228929,1,0.2545454545455867,-1,0.6024096385540718,1,1
19,0,1,0.5136436597109164,2.374157303370722,44.04700056753548,0.6849315068494317,0,0.1111111111110197,1,0.8409090909090565,1,1
19,0,1,0.5488621151272303,0.8939759036144953,45.14286683927755,0.6808510638295661,0,0.3584905660376252,1,0.7936507936511741,-1,0
8,0,1,1.2962962962962137,6.136419753086367,63.84877372387429,0.8928571428569918,0,0.5138888888888247,1,0.8837209302324861,1,0
